"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"1443","MBOAT EQUIPMENT VIOLATION c90B §5",2,1,"MBOAT EQUIPMENT VIOLATION","90B","5","Yes","MBOATEQUIPMENTVIOLATIONc90B5"
"1444","BOAT LIFE SAVING DEVICE, NO c90B §5A",6,2,"BOAT LIFE SAVING DEVICE, NO","90B","5A","Yes","BOATLIFESAVINGDEVICENOc90B5A"
"1445","BOAT OUILIQUOR c90B §8(a)",2,0,"BOAT OUILIQUOR","90B","8(a)","","BOATOUILIQUORc90B8a"
"1446","BOAT OUI¿LIQUOR c90B §8(a)",0,12,"BOAT OUI¿LIQUOR","90B","8(a)","Yes","BOATOUILIQUORc90B8a"
"1447","BOAT OUI¿DRUGS c90B §8(a)",0,2,"BOAT OUI¿DRUGS","90B","8(a)","Yes","BOATOUIDRUGSc90B8a"
"1448","WATER SKIS/SURFBOARD, NEGLIGENT USE OF c90B §8(b)",0,4,"WATER SKIS/SURFBOARD, NEGLIGENT USE OF","90B","8(b)","Yes","WATERSKISSURFBOARDNEGLIGENTUSEOFc90B8b"
"1449","BOAT, UNSAFE OPERATION OF c90B §8(e)(1)",2,5,"BOAT, UNSAFE OPERATION OF","90B","8(e)(1)","Yes","BOATUNSAFEOPERATIONOFc90B8e1"
"1450","BOAT, NEGLIGENT OR RECKLESS OPERATION OF c. 90B s. 8(e)(1)",0,1,"BOAT, NEGLIGENT OR RECKLESS OPERATION OF","90B","8(e)(1)","Yes","BOATNEGLIGENTORRECKLESSOPERATIONOFc90Bs8e1"
"1451","MBOAT ACCIDENT, FAIL REPORT c90B §9(B)",1,0,"MBOAT ACCIDENT, FAIL REPORT","90B","9(B)","Yes","MBOATACCIDENTFAILREPORTc90B9B"
"1452","CITATION, ATTEMPT TO FALSIFY c. 90C s. 10",0,1,"CITATION, ATTEMPT TO FALSIFY","90C","10","Yes","CITATIONATTEMPTTOFALSIFYc90Cs10"
"1453","TITLE, FALSE MV c90D §32(a)",2,2,"TITLE, FALSE MV","90D","32(a)","Yes","TITLEFALSEMVc90D32a"
"1454","TITLE, FALSE STATEMENT IN APPLIC FOR MV c90D §32(a)",1,7,"TITLE, FALSE STATEMENT IN APPLIC FOR MV","90D","32(a)","Yes","TITLEFALSESTATEMENTINAPPLICFORMVc90D32a"
"1455","TITLE, ALLOW UNAUTH POSSESSION/USE OF MV c90D §32(b)",1,5,"TITLE, ALLOW UNAUTH POSSESSION/USE OF MV","90D","32(b)","Yes","TITLEALLOWUNAUTHPOSSESSIONUSEOFMVc90D32b"
"1456","STOLEN MV, FAIL REPORT RECOVERY OF c90D §33",0,1,"STOLEN MV, FAIL REPORT RECOVERY OF","90D","33","Yes","STOLENMVFAILREPORTRECOVERYOFc90D33"
"1457","TITLE, FAIL APPLY FOR MV c90D §4(a)",5,0,"TITLE, FAIL APPLY FOR MV","90D","4(a)","Yes","TITLEFAILAPPLYFORMVc90D4a"
"1458","OUT-OF-SVCE ORDER VIOLATION * c90F §9(E½)(3)",0,1,"OUT-OF-SVCE ORDER VIOLATION *","90F","9(E½)(3)","Yes","OUTOFSVCEORDERVIOLATIONc90F9E3"
"1459","NUISANCE ERECTED IN PUBLIC WATERS c91 §23",4,0,"NUISANCE ERECTED IN PUBLIC WATERS","91","23","Yes","NUISANCEERECTEDINPUBLICWATERSc9123"
"1460","MDC RESERVATIONS/HWAYS REGULATIONS VIOL c92 §37",0,1,"MDC RESERVATIONS/HWAYS REGULATIONS VIOL","92","37","Yes","MDCRESERVATIONSHWAYSREGULATIONSVIOLc9237"
"1461","CIGARETTES, SELL SINGLE UNPACKAGED c94 §307A",0,1,"CIGARETTES, SELL SINGLE UNPACKAGED","94","307A","Yes","CIGARETTESSELLSINGLEUNPACKAGEDc94307A"
"1462","DRUG, PHARMACIST FAIL LABEL c. 94C s. 21",0,3,"DRUG, PHARMACIST FAIL LABEL","94C","21","Yes","DRUGPHARMACISTFAILLABELc94Cs21"
"1463","DRUG, FAIL REPORT DISPENSING c94C §24(a)",0,2,"DRUG, FAIL REPORT DISPENSING","94C","24(a)","Yes","DRUGFAILREPORTDISPENSINGc94C24a"
"1464","DRUG, DISPENSE W/O PRESCRIPTION c94C §25(1)",3,0,"DRUG, DISPENSE W/O PRESCRIPTION","94C","25(1)","Yes","DRUGDISPENSEWOPRESCRIPTIONc94C251"
"1465","DRUG LABEL, REMOVE/ALTER c94C §25(4)",1,5,"DRUG LABEL, REMOVE/ALTER","94C","25(4)","Yes","DRUGLABELREMOVEALTERc94C254"
"1466","HYPODERMIC, POSSESS c94C §27(a)",0,5,"HYPODERMIC, POSSESS","94C","27(a)","Yes","HYPODERMICPOSSESSc94C27a"
"1467","COCAINE (c.94C s. 31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)",0,1,"COCAINE (C.94C S. 31 CLASS B(A)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF.","94C","31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)","Yes","COCAINEc94Cs31ClassBa4DISTRIBUTEORPOSSESSWITHINTENTSUBSQOFFc94Cs32Ad"
"1468","DRUG, POSSESS TO DISTRIB CLASS A c94C §32(a)",265,1458,"DRUG, POSSESS TO DISTRIB CLASS A","94C","32(a)","Yes","DRUGPOSSESSTODISTRIBCLASSAc94C32a"
"1469","DRUG, DISTRIBUTE CLASS A c94C §32(a)",90,1809,"DRUG, DISTRIBUTE CLASS A","94C","32(a)","Yes","DRUGDISTRIBUTECLASSAc94C32a"
"1470","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A c. 94C s. 32(a)",0,3,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A","94C","32(a)","Yes","DRUGDISTRIBUTEORPOSSESSWITHINTENTCLASSAc94Cs32a"
"1471","DRUG, POSSESS TO DISTRIB CLASS A, SUBSQ. c94C §32(b)",33,431,"DRUG, POSSESS TO DISTRIB CLASS A, SUBSQ.","94C","32(b)","Yes","DRUGPOSSESSTODISTRIBCLASSASUBSQc94C32b"
"1472","DRUG, DISTRIBUTE CLASS A, SUBSQ.OFF. c94C §32(b)",17,593,"DRUG, DISTRIBUTE CLASS A, SUBSQ.OFF.","94C","32(b)","Yes","DRUGDISTRIBUTECLASSASUBSQOFFc94C32b"
"1473","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A, SUBSQ. OFF. c. 94C s. 32(b)",0,3,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A, SUBSQ. OFF.","94C","32(b)","Yes","DRUGDISTRIBUTEORPOSSESSWITHINTENTCLASSASUBSQOFFc94Cs32b"
"1474","DRUG, POSSESS TO DISTRIB CLASS B c94C §32A(a)",198,2955,"DRUG, POSSESS TO DISTRIB CLASS B","94C","32A(a)","Yes","DRUGPOSSESSTODISTRIBCLASSBc94C32Aa"
"1475","DRUG, DISTRIBUTE CLASS B c94C §32A(a)",55,2565,"DRUG, DISTRIBUTE CLASS B","94C","32A(a)","Yes","DRUGDISTRIBUTECLASSBc94C32Aa"
"1476","OXYCODENE, POSSESSION CLASS B WITH INTENT c94C §32A(a)",0,22,"OXYCODENE, POSSESSION CLASS B WITH INTENT","94C","32A(a)","Yes","OXYCODENEPOSSESSIONCLASSBWITHINTENTc94C32Aa"
"1477","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B c. 94C s. 32A(a)",0,5,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B","94C","32A(a)","Yes","DRUGDISTRIBUTEORPOSSESSWITHINTENTCLASSBc94Cs32Aa"
"1478","DISTRIBUTION OXYCODENE c94C §32A(a)",0,3,"DISTRIBUTION OXYCODENE","94C","32A(a)","Yes","DISTRIBUTIONOXYCODENEc94C32Aa"
"1479","DRUG, POSSESS TO DISTRIB CLASS B, SUBSQ. c94C §32A(b)",16,781,"DRUG, POSSESS TO DISTRIB CLASS B, SUBSQ.","94C","32A(b)","Yes","DRUGPOSSESSTODISTRIBCLASSBSUBSQc94C32Ab"
"1480","DRUG, POSSESS TO DISTRIB CLASS B, HABITUAL c94C §32A(b)",10,0,"DRUG, POSSESS TO DISTRIB CLASS B, HABITUAL","94C","32A(b)","Yes","DRUGPOSSESSTODISTRIBCLASSBHABITUALc94C32Ab"
"1481","DRUG, DISTRIBUTE CLASS B, SUBSQ.OFF. c94C §32A(b)",9,907,"DRUG, DISTRIBUTE CLASS B, SUBSQ.OFF.","94C","32A(b)","Yes","DRUGDISTRIBUTECLASSBSUBSQOFFc94C32Ab"
"1482","DRUG, DISTRIBUTE CLASS B, HABITUAL c94C §32A(b)",3,0,"DRUG, DISTRIBUTE CLASS B, HABITUAL","94C","32A(b)","Yes","DRUGDISTRIBUTECLASSBHABITUALc94C32Ab"
"1483","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B, SUBSQ. OFF. c. 94C s. 32A(b)",0,1,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B, SUBSQ. OFF.","94C","32A(b)","Yes","DRUGDISTRIBUTEORPOSSESSWITHINTENTCLASSBSUBSQOFFc94Cs32Ab"
"1484","COCAINE, POSSESS TO DISTRIBUTE c94C §32A(c)",36,279,"COCAINE, POSSESS TO DISTRIBUTE","94C","32A(c)","Yes","COCAINEPOSSESSTODISTRIBUTEc94C32Ac"
"1485","COCAINE, DISTRIBUTE c94C §32A(c)",14,224,"COCAINE, DISTRIBUTE","94C","32A(c)","Yes","COCAINEDISTRIBUTEc94C32Ac"
"1486","METHAMPHETAMINE, POSSESS TO DISTRIB c94C §32A(c)",1,10,"METHAMPHETAMINE, POSSESS TO DISTRIB","94C","32A(c)","Yes","METHAMPHETAMINEPOSSESSTODISTRIBc94C32Ac"
"1487","METHAMPHETAMINE, DISTRIBUTE c94C §32A(c)",1,3,"METHAMPHETAMINE, DISTRIBUTE","94C","32A(c)","Yes","METHAMPHETAMINEDISTRIBUTEc94C32Ac"
"1488","PHENCYCLIDINE, DISTRIBUTE c94C §32A(c)",0,2,"PHENCYCLIDINE, DISTRIBUTE","94C","32A(c)","Yes","PHENCYCLIDINEDISTRIBUTEc94C32Ac"
"1489","COCAINE, POSSESS TO DISTRIBUTE, SUBSQ. c94C §32A(d)",12,0,"COCAINE, POSSESS TO DISTRIBUTE, SUBSQ.","94C","32A(d)","Yes","COCAINEPOSSESSTODISTRIBUTESUBSQc94C32Ad"
"1490","COCAINE, DISTRIBUTE, SUBSQ.OFF. c94C §32A(d)",6,177,"COCAINE, DISTRIBUTE, SUBSQ.OFF.","94C","32A(d)","Yes","COCAINEDISTRIBUTESUBSQOFFc94C32Ad"
"1491","PHENCYCLIDINE, POSSESS TO DISTRIB c94C §32A(d)",2,1,"PHENCYCLIDINE, POSSESS TO DISTRIB","94C","32A(d)","Yes","PHENCYCLIDINEPOSSESSTODISTRIBc94C32Ad"
"1492","COCAINE, POSSESS TO DISTRIBUTE, HABITUAL  c94C §32A(d)",1,0,"COCAINE, POSSESS TO DISTRIBUTE, HABITUAL ","94C","32A(d)","Yes","COCAINEPOSSESSTODISTRIBUTEHABITUALc94C32Ad"
"1493","POSSESS TO DISTRIBUTE COCAINE, SUBSEQUENT. c94C §32A(d)",0,163,"POSSESS TO DISTRIBUTE COCAINE, SUBSEQUENT.","94C","32A(d)","Yes","POSSESSTODISTRIBUTECOCAINESUBSEQUENTc94C32Ad"
"1494","METHAMPHETAMINE, DISTRIBUTE, SUBSQ.OFF. c94C §32A(d)",0,5,"METHAMPHETAMINE, DISTRIBUTE, SUBSQ.OFF.","94C","32A(d)","Yes","METHAMPHETAMINEDISTRIBUTESUBSQOFFc94C32Ad"
"1495","METHAMPHETAMINE, POSSESS TO DISTRIB, 2ND c94C §32A(d)",0,1,"METHAMPHETAMINE, POSSESS TO DISTRIB, 2ND","94C","32A(d)","Yes","METHAMPHETAMINEPOSSESSTODISTRIB2NDc94C32Ad"
"1496","DRUG, POSSESS TO DISTRIB CLASS C c94C §32B(a)",41,636,"DRUG, POSSESS TO DISTRIB CLASS C","94C","32B(a)","Yes","DRUGPOSSESSTODISTRIBCLASSCc94C32Ba"
"1497","DRUG, DISTRIBUTE CLASS C c94C §32B(a)",6,322,"DRUG, DISTRIBUTE CLASS C","94C","32B(a)","Yes","DRUGDISTRIBUTECLASSCc94C32Ba"
"1498","DRUG, POSSESS TO DISTRIB CLASS C, HABITUAL c94C §32B(b)",4,0,"DRUG, POSSESS TO DISTRIB CLASS C, HABITUAL","94C","32B(b)","Yes","DRUGPOSSESSTODISTRIBCLASSCHABITUALc94C32Bb"
"1499","DRUG, DISTRIBUTE CLASS C, SUBSQ.OFF. c94C §32B(b)",2,20,"DRUG, DISTRIBUTE CLASS C, SUBSQ.OFF.","94C","32B(b)","Yes","DRUGDISTRIBUTECLASSCSUBSQOFFc94C32Bb"
"1500","DRUG, POSSESS TO DISTRIB CLASS C, SUBSQ. c94C §32B(b)",2,71,"DRUG, POSSESS TO DISTRIB CLASS C, SUBSQ.","94C","32B(b)","Yes","DRUGPOSSESSTODISTRIBCLASSCSUBSQc94C32Bb"
"1501","CULTIVATION/MANUFACTURING MARIJUANA c94C §32C",8,0,"CULTIVATION/MANUFACTURING MARIJUANA","94C","32C","Yes","CULTIVATIONMANUFACTURINGMARIJUANAc94C32C"
"1502","DRUG, POSSESS TO DISTRIB CLASS D c94C §32C(a)",154,2324,"DRUG, POSSESS TO DISTRIB CLASS D","94C","32C(a)","Yes","DRUGPOSSESSTODISTRIBCLASSDc94C32Ca"
"1503","DRUG, DISTRIBUTE CLASS D c94C §32C(a)",41,913,"DRUG, DISTRIBUTE CLASS D","94C","32C(a)","Yes","DRUGDISTRIBUTECLASSDc94C32Ca"
"1504","DRUG, DISTRIBUTE OR POSSESS WITH INTENT CLASS D c. 94C s. 32C(a)",0,4,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT CLASS D","94C","32C(a)","Yes","DRUGDISTRIBUTEORPOSSESSWITHINTENTCLASSDc94Cs32Ca"
"1505","DRUG, POSSESS TO DISTRIB CLASS D, SUBSQ. c94C §32C(b)",13,256,"DRUG, POSSESS TO DISTRIB CLASS D, SUBSQ.","94C","32C(b)","Yes","DRUGPOSSESSTODISTRIBCLASSDSUBSQc94C32Cb"
"1506","DRUG, DISTRIBUTE CLASS D, SUBSQ.OFF. c94C §32C(b)",4,110,"DRUG, DISTRIBUTE CLASS D, SUBSQ.OFF.","94C","32C(b)","Yes","DRUGDISTRIBUTECLASSDSUBSQOFFc94C32Cb"
"1507","CULTIVATION/MANUFACTURING MARIJUANA, SUBSQ. OFF c94C §32C(b)",1,0,"CULTIVATION/MANUFACTURING MARIJUANA, SUBSQ. OFF","94C","32C(b)","Yes","CULTIVATIONMANUFACTURINGMARIJUANASUBSQOFFc94C32Cb"
"1508","DRUG, POSSESS TO DISTRIB CLASS E c94C §32D(a)",14,551,"DRUG, POSSESS TO DISTRIB CLASS E","94C","32D(a)","Yes","DRUGPOSSESSTODISTRIBCLASSEc94C32Da"
"1509","DRUG, DISTRIBUTE CLASS E c94C §32D(a)",1,289,"DRUG, DISTRIBUTE CLASS E","94C","32D(a)","Yes","DRUGDISTRIBUTECLASSEc94C32Da"
"1510","DRUG, POSSESS TO DISTRIB CLASS E, SUBSQ. c94C §32D(b)",0,33,"DRUG, POSSESS TO DISTRIB CLASS E, SUBSQ.","94C","32D(b)","Yes","DRUGPOSSESSTODISTRIBCLASSESUBSQc94C32Db"
"1511","DRUG, DISTRIBUTE CLASS E, SUBSQ.OFF. c94C §32D(b)",0,20,"DRUG, DISTRIBUTE CLASS E, SUBSQ.OFF.","94C","32D(b)","Yes","DRUGDISTRIBUTECLASSESUBSQOFFc94C32Db"
"1512","MARIHUANA, TRAFFICKING IN  c94C §32E(a)",2,0,"MARIHUANA, TRAFFICKING IN ","94C","32E(a)","","MARIHUANATRAFFICKINGINc94C32Ea"
"1513","MARIHUANA, TRAFFICKING IN c94C §32E(a)",0,19,"MARIHUANA, TRAFFICKING IN","94C","32E(a)","Yes","MARIHUANATRAFFICKINGINc94C32Ea"
"1514","COCAINE, TRAFFICKING IN c94C §32E(b)",34,535,"COCAINE, TRAFFICKING IN","94C","32E(b)","Yes","COCAINETRAFFICKINGINc94C32Eb"
"1515","METHAMPHETAMINE, TRAFFICKING IN c94C §32E(b)",0,106,"METHAMPHETAMINE, TRAFFICKING IN","94C","32E(b)","Yes","METHAMPHETAMINETRAFFICKINGINc94C32Eb"
"1516","COCAINE, TRAFFICKING IN, SUBSEQUENT OFFENSE c94C §32E(b)",0,3,"COCAINE, TRAFFICKING IN, SUBSEQUENT OFFENSE","94C","32E(b)","Yes","COCAINETRAFFICKINGINSUBSEQUENTOFFENSEc94C32Eb"
"1517","COCAINE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(b)(1)",0,41,"COCAINE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(b)(1)","Yes","COCAINETRAFFICKINGINOVER14GRAMSc94C32Eb1"
"1518","COCAINE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(b)(2)",0,201,"COCAINE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(b)(2)","Yes","COCAINETRAFFICKINGINOVER28GRAMSc94C32Eb2"
"1519","COCAINE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(b)(3)",0,83,"COCAINE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(b)(3)","Yes","COCAINETRAFFICKINGINOVER100GRAMSc94C32Eb3"
"1520","COCAINE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(b)(4)",0,133,"COCAINE, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(b)(4)","Yes","COCAINETRAFFICKINGINOVER200GRAMSc94C32Eb4"
"1521","HEROIN/MORPHINE/OPIUM, TRAFFICKING IN c94C §32E(c)",0,407,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN","94C","32E(c)","Yes","HEROINMORPHINEOPIUMTRAFFICKINGINc94C32Ec"
"1522","FENTANYL, TRAFFICKING IN, OVER 10 GRAMS c94C §32E(c)",0,232,"FENTANYL, TRAFFICKING IN, OVER 10 GRAMS","94C","32E(c)","Yes","FENTANYLTRAFFICKINGINOVER10GRAMSc94C32Ec"
"1523","HYDROMORPHONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)",0,8,"HYDROMORPHONE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)","Yes","HYDROMORPHONETRAFFICKINGINOVER100GRAMSc94C32Ec"
"1524","HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 100 GRAMS OR MORE c94C §32E(c)",0,7,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 100 GRAMS OR MORE","94C","32E(c)","Yes","HEROINMORPHINEOPIUMTRAFFICKINGIN100GRAMSORMOREc94C32Ec"
"1525","HYDROMORPHONE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)",0,5,"HYDROMORPHONE, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(c)","Yes","HYDROMORPHONETRAFFICKINGINOVER200GRAMSc94C32Ec"
"1526","HYDROMORPHONE, TRAFFICKING IN, OVER 18 GRAMS c94C §32E(c)",0,2,"HYDROMORPHONE, TRAFFICKING IN, OVER 18 GRAMS","94C","32E(c)","Yes","HYDROMORPHONETRAFFICKINGINOVER18GRAMSc94C32Ec"
"1527","HYDROMORPHONE, TRAFFICKING IN, OVER 36 GRAMS c94C §32E(c)",0,1,"HYDROMORPHONE, TRAFFICKING IN, OVER 36 GRAMS","94C","32E(c)","Yes","HYDROMORPHONETRAFFICKINGINOVER36GRAMSc94C32Ec"
"1528","HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN c94C §32E(c)(1)",8,0,"HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN","94C","32E(c)(1)","Yes","HEROINMORPHINEOPIUM1836GRAMSTRAFFICKINGINc94C32Ec1"
"1529","HEROIN, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,41,"HEROIN, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes","HEROINTRAFFICKINGINOVER14GRAMSc94C32Ec1"
"1530","OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,10,"OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes","OXYCODONETRAFFICKINGINOVER14GRAMSc94C32Ec1"
"1531","HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN c94C §32E(c)(2)",29,0,"HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN","94C","32E(c)(2)","Yes","HEROINMORPHINEOPIUM36GRAMS100GRAMSTRAFFICKINGINc94C32Ec2"
"1532","HEROIN, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,157,"HEROIN, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes","HEROINTRAFFICKINGINOVER28GRAMSc94C32Ec2"
"1533","OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,44,"OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes","OXYCODONETRAFFICKINGINOVER28GRAMSc94C32Ec2"
"1534","OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,148,"OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes","OXYCODONETRAFFICKINGINOVER100GRAMSc94C32Ec3"
"1535","HEROIN, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,91,"HEROIN, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes","HEROINTRAFFICKINGINOVER100GRAMSc94C32Ec3"
"1536","HEROIN, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)(4)",0,124,"HEROIN, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(c)(4)","Yes","HEROINTRAFFICKINGINOVER200GRAMSc94C32Ec4"
"1537","HEROIN/MORPHINE/OPIUM, TRAFFICK IN c. 94C s. 32E(c)(4) - 200 or more g",0,1,"HEROIN/MORPHINE/OPIUM, TRAFFICK IN","94C","32E(c)(4) - 200 or more g","Yes","HEROINMORPHINEOPIUMTRAFFICKINc94Cs32Ec4200ormoreg"
"1538","FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS c94C §32E(c1/2)",11,0,"FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS","94C","32E(c1/2)","Yes","FENTANYLTRAFFICKINGINMORETHAN10GRAMSc94C32Ec12"
"1539","COUNTERFEIT DRUG, DISTRIBUTE c94C §32G",2,27,"COUNTERFEIT DRUG, DISTRIBUTE","94C","32G","Yes","COUNTERFEITDRUGDISTRIBUTEc94C32G"
"1540","COUNTERFEIT DRUG, POSSESS TO DISTRIBUTE c94C §32G",1,13,"COUNTERFEIT DRUG, POSSESS TO DISTRIBUTE","94C","32G","Yes","COUNTERFEITDRUGPOSSESSTODISTRIBUTEc94C32G"
"1541","DRUG PARAPHERNALIA, POSSESS TO DISTRIB c94C §32I(a)",3,8,"DRUG PARAPHERNALIA, POSSESS TO DISTRIB","94C","32I(a)","Yes","DRUGPARAPHERNALIAPOSSESSTODISTRIBc94C32Ia"
"1542","DRUG PARAPHERNALIA, DISTRIBUTE c94C §32I(a)",0,13,"DRUG PARAPHERNALIA, DISTRIBUTE","94C","32I(a)","Yes","DRUGPARAPHERNALIADISTRIBUTEc94C32Ia"
"1543","DRUG VIOLATION NEAR SCHOOL/PARK c94C §32J",23,2820,"DRUG VIOLATION NEAR SCHOOL/PARK","94C","32J","Yes","DRUGVIOLATIONNEARSCHOOLPARKc94C32J"
"1544","DRUG VIOLATION NEAR SCHOOL c94C §32J",1,0,"DRUG VIOLATION NEAR SCHOOL","94C","32J","Yes","DRUGVIOLATIONNEARSCHOOLc94C32J"
"1545","DRUG VIOLATION NEAR SCHOOL/PARK c. 94C s. 32J",0,4,"DRUG VIOLATION NEAR SCHOOL/PARK","94C","32J","Yes","DRUGVIOLATIONNEARSCHOOLPARKc94Cs32J"
"1546","DRUG VIOLATION NEAR SCHOOL c. 94C s. 32J",0,1,"DRUG VIOLATION NEAR SCHOOL","94C","32J","Yes","DRUGVIOLATIONNEARSCHOOLc94Cs32J"
"1547","DRUG, INDUCE MINOR TO DISTRIBUTE c94C §32K",3,4,"DRUG, INDUCE MINOR TO DISTRIBUTE","94C","32K","Yes","DRUGINDUCEMINORTODISTRIBUTEc94C32K"
"1548","DRUG FUNDS, INDUCE MINOR TO POSSESS c94C §32K",0,1,"DRUG FUNDS, INDUCE MINOR TO POSSESS","94C","32K","Yes","DRUGFUNDSINDUCEMINORTOPOSSESSc94C32K"
"1549","POSSESSION OF MARIJUANA 1 OUNCE OR LESS W/MARIJUANA CONCENTRATE c94C s32L",2,0,"POSSESSION OF MARIJUANA 1 OUNCE OR LESS W/MARIJUANA CONCENTRATE","94C","32L","Yes","POSSESSIONOFMARIJUANA1OUNCEORLESSWMARIJUANACONCENTRATEc94Cs32L"
"1550","DRUG, FALSE REGIS NUMBER FOR c94C §33(a)",54,1,"DRUG, FALSE REGIS NUMBER FOR","94C","33(a)","Yes","DRUGFALSEREGISNUMBERFORc94C33a"
"1551","DRUG, OBTAIN BY FRAUD c94C §33(b)",222,68,"DRUG, OBTAIN BY FRAUD","94C","33(b)","Yes","DRUGOBTAINBYFRAUDc94C33b"
"1552","PRESCRIPTION, UTTER FALSE c94C §33(b)",27,216,"PRESCRIPTION, UTTER FALSE","94C","33(b)","Yes","PRESCRIPTIONUTTERFALSEc94C33b"
"1553","DRUG, FALSE REGIS NUMBER FOR, SUBSQ.OFF. c94C §33(c)",0,16,"DRUG, FALSE REGIS NUMBER FOR, SUBSQ.OFF.","94C","33(c)","Yes","DRUGFALSEREGISNUMBERFORSUBSQOFFc94C33c"
"1554","PRESCRIPTION, UTTER FALSE, SUBSQ.OFF. c94C §33(c)",0,13,"PRESCRIPTION, UTTER FALSE, SUBSQ.OFF.","94C","33(c)","Yes","PRESCRIPTIONUTTERFALSESUBSQOFFc94C33c"
"1555","DRUG, OBTAIN BY FRAUD, SUBSQ.OFF. c94C §33(c)",0,8,"DRUG, OBTAIN BY FRAUD, SUBSQ.OFF.","94C","33(c)","Yes","DRUGOBTAINBYFRAUDSUBSQOFFc94C33c"
"1556","DRUG, POSSESS CLASS B c94C §34",1081,5770,"DRUG, POSSESS CLASS B","94C","34","Yes","DRUGPOSSESSCLASSBc94C34"
"1557","DRUG, POSSESS CLASS A c94C §34",935,2987,"DRUG, POSSESS CLASS A","94C","34","Yes","DRUGPOSSESSCLASSAc94C34"
"1558","DRUG, POSSESS CLASS E c94C §34",458,1894,"DRUG, POSSESS CLASS E","94C","34","Yes","DRUGPOSSESSCLASSEc94C34"
"1559","DRUG, POSSESS CLASS C c94C §34",220,1148,"DRUG, POSSESS CLASS C","94C","34","Yes","DRUGPOSSESSCLASSCc94C34"
"1560","DRUG, POSSESS CLASS B, SUBSQ.OFF. c94C §34",185,834,"DRUG, POSSESS CLASS B, SUBSQ.OFF.","94C","34","Yes","DRUGPOSSESSCLASSBSUBSQOFFc94C34"
"1561","DRUG, POSSESS CLASS A, SUBSQ.OFF. c94C §34",151,285,"DRUG, POSSESS CLASS A, SUBSQ.OFF.","94C","34","Yes","DRUGPOSSESSCLASSASUBSQOFFc94C34"
