"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"1437","MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02",0,1,"MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02","350","12.02","",0,0,NA
"1438","MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)",1,0,"MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","",0,0,NA
"1439","MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)",0,39,"MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","",0,0,NA
"1440","MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)","350","2.01(2)","",0,0,NA
"1441","MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01",0,14,"MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01","350","350 CMR §4.01","",0,0,NA
"1442","MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT","369","14","",0,0,NA
"1443","MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00",7,3,"MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00","540","4.00","",0,0,NA
"1444","MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03",9,19,"MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03","540","14.03","",0,0,NA
"1445","HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03",0,1,"HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03","540","14.03","",0,0,NA
"1446","REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a)",36,68,"REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(A)","540","2.05(6)(a)","",0,0,NA
"1447","HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)","540","2.12(2)","",0,0,NA
"1448","AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07","540","22.07","",0,0,NA
"1449","TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)",0,12,"TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)","540","2.22(1)","",0,0,NA
"1450","REGISTRATION STICKER MISSING * 540 CMR §2.24(3)",0,2,"REGISTRATION STICKER MISSING * 540 CMR §2.24(3)","540","2.24(3)","",0,0,NA
"1451","NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)","540","18.04(2)","",0,0,NA
"1452","HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)","540","22.05(2)","",0,0,NA
"1453","HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)","540","22.05(2)","",0,0,NA
"1454","MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a)",0,49,"MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(A)","700","7.09(5)(a)","",0,0,NA
"1455","MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(a)",0,18,"MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(A)","700","7.09(5)(a)","",0,0,NA
"1456","MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(b)",0,60,"MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(B)","700","7.09(6)(b)","",0,0,NA
"1457","STATE HWAY¿PARKING * 720 CMR §9.03",0,1,"STATE HWAY¿PARKING * 720 CMR §9.03","720","9.03","",0,0,NA
"1458","STATE HWAYWRONG WAY * 720 CMR §9.05",13,0,"STATE HWAYWRONG WAY * 720 CMR §9.05","720","9.05","",0,0,NA
"1459","STATE HWAY WRONG WAY * 720 CMR §9.05",0,196,"STATE HWAY WRONG WAY * 720 CMR §9.05","720","9.05","",0,0,NA
"1460","STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06",179,0,"STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06","720","9.06","",0,0,NA
"1461","STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06",25,0,"STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06","720","9.06","",0,0,NA
"1462","STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06",0,305,"STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06","720","9.06","",0,0,NA
"1463","STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06",0,134,"STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06","720","9.06","",0,0,NA
"1464","STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07",9,0,"STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07","720","9.07","",0,0,NA
"1465","STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07",0,10,"STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07","720","9.07","",0,0,NA
"1466","STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08",1,0,"STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08","720","9.08","",0,0,NA
"1467","STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08",0,3,"STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08","720","9.08","",0,0,NA
"1468","STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09",1,0,"STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09","720","9.09","",0,0,NA
"1469","STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09",0,6,"STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09","720","9.09","",0,0,NA
"1470","NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02",0,1,"NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02","720","10.02","",0,0,NA
"1471","STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b)",1,0,"STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B)","720","9.08(5)(b)","",0,0,NA
"1472","STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b)",0,1,"STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B)","720","9.08(5)(b)","",0,0,NA
"1473","STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04",0,1,"STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04","720","8.03 & §8.04","",0,0,NA
"1474","MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01",0,8,"MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01","730","4.01","",0,0,NA
"1475","MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02",0,4,"MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02","730","4.02","",0,0,NA
"1476","MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06",0,2,"MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06","730","4.06","",0,0,NA
"1477","MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11",0,1,"MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11","730","4.11","",0,0,NA
"1478","MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12",0,1,"MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12","730","4.12","",0,0,NA
"1479","MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15",0,1,"MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15","730","4.15","",0,0,NA
"1480","MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18",0,4,"MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18","730","4.18","",0,0,NA
"1481","MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20",0,2,"MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20","730","4.20","",0,0,NA
"1482","MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28",0,1,"MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28","730","4.28","",0,0,NA
"1483","MASS PIKE¿TOLL, EVADE * 730 CMR §5.03",0,1,"MASS PIKE¿TOLL, EVADE * 730 CMR §5.03","730","5.03","",0,0,NA
"1484","MASS PIKE¿SPEEDING * 730 CMR §5.04",0,174,"MASS PIKE¿SPEEDING * 730 CMR §5.04","730","5.04","",0,0,NA
"1485","MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04",0,9,"MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04","730","5.04","",0,0,NA
"1486","MASS PIKE¿$100 VIOLATION * 730 CMR §5.04",0,2,"MASS PIKE¿$100 VIOLATION * 730 CMR §5.04","730","5.04","",0,0,NA
"1487","MASS PIKE¿$500 VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿$500 VIOLATION * 730 CMR §5.04","730","5.04","",0,0,NA
"1488","MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04","730","5.04","",0,0,NA
"1489","MASS PIKE¿$15 VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿$15 VIOLATION * 730 CMR §5.04","730","5.04","",0,0,NA
"1490","MASS PIKE¿MOTOR CARRIER SAFETY ACT VIOL * 730 CMR §7.09",0,68,"MASS PIKE¿MOTOR CARRIER SAFETY ACT VIOL * 730 CMR §7.09","730","7.09","",0,0,NA
"1491","MASS PIKE¿DISABLED VEH REPAIR/TOW VIOL * 730 CMR §7.11",0,1,"MASS PIKE¿DISABLED VEH REPAIR/TOW VIOL * 730 CMR §7.11","730","7.11","",0,0,NA
"1492","MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(b)",0,11,"MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(B)","730","5.04(1)(b)","",0,0,NA
"1493","MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(d)",0,2,"MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(D)","730","5.04(1)(d)","",0,0,NA
"1494","MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(b)",0,1,"MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(B)","730","5.04(4)(b)","",0,0,NA
"1495","MASS PIKE¿SOLICITING 730 CMR §5.04(4)(g)",0,1,"MASS PIKE¿SOLICITING 730 CMR §5.04(4)(G)","730","5.04(4)(g)","",0,0,NA
"1496","MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)",0,1,"MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)","730","7.03(3)","",0,0,NA
"1497","MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)",0,2,"MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)","730","7.03(4)","",0,0,NA
"1498","MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)",0,1,"MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)","730","7.04(1)","",0,0,NA
"1499","MASS PIKE¿WRONG WAY * 730 CMR §7.05(1)",0,11,"MASS PIKE¿WRONG WAY * 730 CMR §7.05(1)","730","7.05(1)","",0,0,NA
"1500","MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2)",0,5,"MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2)","730","7.05(2)","",0,0,NA
"1501","MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)",0,1,"MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)","730","7.05(3)","",0,0,NA
"1502","MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(b)",0,1,"MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(B)","730","7.05(5)(b)","",0,0,NA
"1503","MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(g)",0,2,"MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(G)","730","7.05(5)(g)","",0,0,NA
"1504","MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(h)",0,1,"MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(H)","730","7.05(5)(h)","",0,0,NA
"1505","MASS PIKE¿LOITERING 730 CMR §7.05(8)",0,1,"MASS PIKE¿LOITERING 730 CMR §7.05(8)","730","7.05(8)","",0,0,NA
"1506","MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9)",0,2,"MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9)","730","7.05(9)","",0,0,NA
"1507","MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)",0,1,"MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)","730","7.05(9)","",0,0,NA
"1508","MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(d)",0,3,"MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(D)","730","7.06(4)(d)","",0,0,NA
"1509","MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(f)",0,1,"MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(F)","730","7.06(4)(f)","",0,0,NA
"1510","MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(g)",0,2,"MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(G)","730","7.06(4)(g)","",0,0,NA
"1511","MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(a)",0,126,"MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(A)","730","7.08(1)(a)","",0,0,NA
"1512","MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(a)",0,9,"MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(A)","730","7.08(1)(a)","",0,0,NA
"1513","MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(b)",0,10,"MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(B)","730","7.08(1)(b)","",0,0,NA
"1514","MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)",0,11,"MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)","730","7.08(2)","",0,0,NA
"1515","MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(a)",0,25,"MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(A)","730","7.08(5)(a)","",0,0,NA
"1516","MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(b)",0,1,"MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(B)","730","7.08(5)(b)","",0,0,NA
"1517","MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(a)",0,193,"MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(A)","730","7.08(6)(a)","",0,0,NA
"1518","MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(b)",0,6,"MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(B)","730","7.08(6)(b)","",0,0,NA
"1519","MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(c)",0,13,"MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(C)","730","7.08(6)(c)","",0,0,NA
"1520","MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(c)",0,3,"MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(C)","730","7.08(6)(c)","",0,0,NA
"1521","MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7)",0,7,"MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7)","730","7.08(7)","",0,0,NA
"1522","MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8)",0,195,"MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8)","730","7.08(8)","",0,0,NA
"1523","MASS PIKE¿BREAKDOWN LANE VIOLATION * 730 CMR §7.08(9)",0,33,"MASS PIKE¿BREAKDOWN LANE VIOLATION * 730 CMR §7.08(9)","730","7.08(9)","",0,0,NA
"1524","MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(e)(2)",0,1,"MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(E)(2)","730","7.06(6)(e)(2)","",0,0,NA
"1525","MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20)",0,11,"MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20)","730","7.07(20)","",0,0,NA
"1526","MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22)",0,1,"MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22)","730","7.07(22)","",0,0,NA
"1527","MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(a)",0,3,"MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(A)","730","7.08(10)(a)","",0,0,NA
"1528","MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(b)",0,3,"MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(B)","730","7.08(10)(b)","",0,0,NA
"1529","MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(a)",0,9,"MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(A)","730","7.08(11)(a)","",0,0,NA
"1530","MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(b)",0,6,"MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(B)","730","7.08(11)(b)","",0,0,NA
"1531","MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(a)",0,5,"MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(A)","730","7.08(12)(a)","",0,0,NA
"1532","MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(b)",0,4,"MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(B)","730","7.08(12)(b)","",0,0,NA
"1533","MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(c)",0,2,"MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(C)","730","7.08(12)(c)","",0,0,NA
"1534","MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)",0,13,"MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)","730","7.08(13)","",0,0,NA
"1535","MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14)",0,13,"MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14)","730","7.08(14)","",0,0,NA
"1536","MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15)",0,87,"MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15)","730","7.08(15)","",0,0,NA
"1537","MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16)",0,5,"MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16)","730","7.08(16)","",0,0,NA
"1538","MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(a)&(b)",0,19,"MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(A)&(B)","730","7.08(17)(a)&(b)","",0,0,NA
"1539","MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(c)",0,26,"MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(C)","730","7.08(17)(c)","",0,0,NA
"1540","MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)",0,2,"MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)","730","7.08(19)","",0,0,NA
"1541","MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21)",0,1,"MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21)","730","7.08(21)","",0,0,NA
"1542","MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22)",0,1,"MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22)","730","7.08(22)","",0,0,NA
"1543","MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)",0,51,"MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)","730","7.08(23)","",0,0,NA
"1544","MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)",0,28,"MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)","730","7.08(26)","",0,0,NA
"1545","MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27)",0,24,"MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27)","730","7.08(27)","",0,0,NA
"1546","MASS PIKE¿IDLING * 730 CMR §7.08(28)",0,2,"MASS PIKE¿IDLING * 730 CMR §7.08(28)","730","7.08(28)","",0,0,NA
"1547","MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30)",0,1,"MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30)","730","7.08(30)","",0,0,NA
"1548","MASS PIKE¿SOLICIT FUNDS 730 CMR §7.05(9)",0,1,"MASS PIKE¿SOLICIT FUNDS 730 CMR §7.05(9)","730","730 CMR §7.05(9)","",0,0,NA
"1549","LOGAN¿SPEEDING OVER POSTED LIMIT * 740 CMR §21.51",0,5,"LOGAN¿SPEEDING OVER POSTED LIMIT * 740 CMR §21.51","740","21.51","",0,0,NA
"1550","LOGAN¿TRAFFIC VIOLATION * 740 CMR §21.51",0,1,"LOGAN¿TRAFFIC VIOLATION * 740 CMR §21.51","740","21.51","",0,0,NA
"1551","LOGAN¿SIGNAL/SIGN/MARKINGS VIOLATION * 740 CMR §21.52",0,1,"LOGAN¿SIGNAL/SIGN/MARKINGS VIOLATION * 740 CMR §21.52","740","21.52","",0,0,NA
"1552","TOBIN BRIDGE¿HITCHHIKING/LOITERING 740 CMR §11.05(1)(b)",0,1,"TOBIN BRIDGE¿HITCHHIKING/LOITERING 740 CMR §11.05(1)(B)","740","11.05(1)(b)","",0,0,NA
"1553","TOBIN BRIDGE¿SPEEDING OVER POSTED LIMIT * 740 CMR §11.06(1)(h)",0,1,"TOBIN BRIDGE¿SPEEDING OVER POSTED LIMIT * 740 CMR §11.06(1)(H)","740","11.06(1)(h)","",0,0,NA
"1554","ASSAULT AND BATTER ON ELDER/DISABLED CARETAKER c265,13K(d 1/2)",2,0,"ASSAULT AND BATTER ON ELDER/DISABLED CARETAKER","265,13K(d","2)","No",0,0,NA
"1555","MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19",0,1,"MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19","500 FT * 730","4.19","",0,0,NA
"1556","UNLAWFUL POSSESSION FIREARM - HABITUAL 269/10(a)",1,0,"UNLAWFUL POSSESSION FIREARM - HABITUAL 269/10(A)","","10(a)","No",0,0,NA
"1557","Assault and Battery (HABITUAL) 265/13A(a)",1,0,"ASSAULT AND BATTERY (HABITUAL) 265/13A(A)","","13A(a)","No",0,0,NA
"1558","RECKLESS ENDANGERMENT OF CHILD 265§13L",117,0,"RECKLESS ENDANGERMENT OF CHILD 265§13L","","13L","No",0,0,NA
"1559","OP MV W/ LICENSE REVOKED-HABITUAL TRAFFIC OFFENDER 90/23",1,0,"OP MV W/ LICENSE REVOKED-HABITUAL TRAFFIC OFFENDER 90/23","","23","Yes",0,0,NA
"1560","SNOW/REC VEH - REFUSE STOP FOR POLICE 90B/26(c)",2,0,"SNOW/REC VEH - REFUSE STOP FOR POLICE 90B/26(C)","","26(c)","Yes",0,0,NA
"1561","SNOW/REC VEH - PUBLIC PROPERTY, ON 90B/26(e)",1,0,"SNOW/REC VEH - PUBLIC PROPERTY, ON 90B/26(E)","","26(e)","Yes",0,0,NA
"1562","TRAFFICKING COCAINE SECOND OR SUBSEQUENT OFFENSE C.94C, §32(E)(a)",0,1,"TRAFFICKING COCAINE SECOND OR SUBSEQUENT OFFENSE C.94C, §32(E)(A)","","32(E)(a)","Yes",0,0,NA
"1563","POSSESSION OR CONTROL OF INCENDIARY DEVICE OR MATERIAL 266/102(c)",6,0,"POSSESSION OR CONTROL OF INCENDIARY DEVICE OR MATERIAL 266/102(C)","","102(c)","Yes",0,0,NA
"1564","PHOTOGRAPH SEXUAL OR INTIMATE PARTS W/OUT CONSENT 272/105(b)",3,0,"PHOTOGRAPH SEXUAL OR INTIMATE PARTS W/OUT CONSENT 272/105(B)","","105(b)","Yes",0,0,NA
"1565","Ignition Interlock For Another, Bypass 90/24U(a)(1)",2,0,"IGNITION INTERLOCK FOR ANOTHER, BYPASS 90/24U(A)(1)","","24U(a)(1)","Yes",0,0,NA
"1566","MISCELLANEOUS MUNIC ORDINANCE/BYLAW VIOL",910,3397,"MISCELLANEOUS MUNIC ORDINANCE/BYLAW VIOL","","","Yes",0,0,NA
"1567","B&E VEHICLE/BOAT NIGHTTIME FOR FELONY",272,569,"B&E VEHICLE/BOAT NIGHTTIME FOR FELONY","","","Yes",0,0,NA
"1568","MISCELLANEOUS MUNIC MOTOR VEHICLE ORDINANCE/BYLAW",262,0,"MISCELLANEOUS MUNIC MOTOR VEHICLE ORDINANCE/BYLAW","","","Yes",0,0,NA
"1569","LARCENY UNDER $250",207,0,"LARCENY UNDER $250","","","Yes",0,0,NA
"1570","UNLICENSED/SUSPENDED OPERATION OF M/V, PERMIT",205,0,"UNLICENSED/SUSPENDED OPERATION OF M/V, PERMIT","","","Yes",0,0,NA
"1571","VIOLATE HARASSMENT PREVENTION ORDER",196,0,"VIOLATE HARASSMENT PREVENTION ORDER","","","No",0,0,NA
"1572","A&B ON +60/DISABLED",144,0,"A&B ON +60/DISABLED","","","No",0,0,NA
"1573","Disorderly Conduct, Subsq. Off.",122,0,"DISORDERLY CONDUCT, SUBSQ. OFF.","","","Yes",0,0,NA
"1574","A&B, AGGRAVATED",76,0,"A&B, AGGRAVATED","","","No",0,0,NA
